exp,tf,a,m,m_obs,regulon_size,knock_method,platform,dose_bin,in_filtered_279,multi_tf,ulm_unmasked_frac,ulm_masked_frac
DataSet_01_001,ESR1,0.04527226143572497,-0.71385,-0.71385,599,siRNA,GPL3921,-1 <= m < -0.5,False,True,0.37597911227154046,0.41383812010443866
DataSet_01_002,HNF1A,-11.396915914317743,0.16428,0.16428,150,shRNA,GPL18180,m >= 0,False,False,0.0013054830287206266,0.0013054830287206266
DataSet_01_003,MLXIP,0.09101821271760932,0.26215,0.26215,5,shRNA,GPL4133,m >= 0,False,True,0.6827676240208878,0.6827676240208878
DataSet_01_004,CREB1,-0.732566804784221,-0.95018,-0.95018,443,shRNA,GPL570,-1 <= m < -0.5,False,True,0.3289817232375979,0.34986945169712796
DataSet_01_005,POU5F1,0.5405636269599547,0.0,0.0,88,siRNA,GPL570,m >= 0,False,True,0.6462140992167101,0.6462140992167101
DataSet_01_006,PROX1,-1.1639420939088052,-1.13977,-1.13977,34,siRNA,GPL570,-2 <= m < -1,True,False,0.15926892950391644,0.16057441253263707
DataSet_01_007,NR2F2,-0.24555444710107108,-1.34696,-1.34696,78,siRNA,GPL570,-2 <= m < -1,True,True,0.26762402088772846,0.32114882506527415
DataSet_01_008,WT1,-1.0423872452495042,-1.11474,-1.11474,150,siRNA,GPL570,-2 <= m < -1,True,True,0.4177545691906005,0.31592689295039167
DataSet_01_009,BCL11A,0.16538082252309239,-0.10769,-0.10769,15,siRNA,GPL570,-0.5 <= m < 0,False,False,0.6331592689295039,0.6331592689295039
DataSet_01_010,TP53,-3.8626415065926105,-3.13745,-3.13745,930,shRNA,GPL4133,m < -2,True,True,0.010443864229765013,0.007832898172323759
DataSet_01_011,TP53,-0.4334648177521628,-2.43895,-2.43895,930,siRNA,GPL1426,m < -2,True,True,0.283289817232376,0.2989556135770235
DataSet_01_012,FLI1,-0.9505264793111919,-1.46311,-1.46311,92,shRNA,GPL96,-2 <= m < -1,True,True,0.16318537859007834,0.1866840731070496
DataSet_01_013,FLI1,-3.502790959175204,-2.12989,-2.12989,92,shRNA,GPL96,m < -2,True,True,0.022193211488250653,0.030026109660574413
DataSet_01_014,FLI1,-1.681048978824707,-1.62202,-1.62202,92,shRNA,GPL96,-2 <= m < -1,True,True,0.11096605744125326,0.14490861618798956
DataSet_01_015,FLI1,-0.4648535343037644,-1.08896,-1.08896,92,shRNA,GPL96,-2 <= m < -1,True,True,0.22193211488250653,0.24673629242819844
DataSet_01_016,FLI1,-3.9765524682482987,-1.26522,-1.26522,92,shRNA,GPL96,-2 <= m < -1,True,True,0.016971279373368148,0.0195822454308094
DataSet_01_017,ERG,-0.4038029771862547,-2.34525,-2.34525,55,siRNA,GPL570,m < -2,True,True,0.1618798955613577,0.26631853785900783
DataSet_01_018,YY1,0.8751236576042246,-2.07726,-2.07726,251,shRNA,GPL570,m < -2,True,False,0.5939947780678851,0.5261096605744126
DataSet_01_021,STAT1,-4.716973774505445,-1.36,-1.36,293,shRNA,GPL6244,-2 <= m < -1,True,True,0.014360313315926894,0.014360313315926894
DataSet_01_022,RUNX1,-0.5214086577767301,0.0,0.0,194,siRNA,GPL570,m >= 0,False,True,0.2819843342036554,0.2819843342036554
DataSet_01_023,RUNX1,1.8456009539022544,0.0,0.0,194,siRNA,GPL570,m >= 0,False,True,0.7780678851174935,0.7780678851174935
DataSet_01_024,MITF,-3.186857051261413,-0.91966,-0.91966,108,siRNA,GPL570,-1 <= m < -0.5,False,True,0.010443864229765013,0.015665796344647518
DataSet_01_025,MITF,-3.354454580168189,-1.04766,-1.04766,108,siRNA,GPL570,-2 <= m < -1,True,True,0.0039164490861618795,0.006527415143603133
DataSet_01_026,PAX3,-0.800376650438701,-1.25574,-1.25574,112,siRNA,GPL570,-2 <= m < -1,True,True,0.07702349869451697,0.20365535248041775
DataSet_01_027,PAX3,-1.3426914214766617,-1.05249,-1.05249,112,siRNA,GPL570,-2 <= m < -1,True,True,0.12924281984334204,0.19712793733681463
DataSet_01_028,ERG,0.10902455697884406,0.11648,0.11648,55,shRNA,GPL6883,m >= 0,False,True,0.6018276762402088,0.5744125326370757
DataSet_01_030,RELA,-10.639924533313025,-2.00711,-2.00711,539,siRNA,GPL201,m < -2,True,True,0.0013054830287206266,0.0026109660574412533
DataSet_01_031,TP53,-7.638803003988671,-3.46451,-3.46451,930,siRNA,GPL201,m < -2,True,True,0.02610966057441253,0.020887728459530026
DataSet_01_032,STAT6,-4.371686537244944,0.0,0.0,123,siRNA,GPL6102,m >= 0,False,True,0.010443864229765013,0.010443864229765013
DataSet_01_033,ATF3,-1.0288068346936945,-1.92622,-1.92622,107,siRNA,GPL4133,-2 <= m < -1,True,True,0.23368146214099217,0.14490861618798956
DataSet_01_034,EGR3,-2.618136579005209,-1.91759,-1.91759,32,siRNA,GPL570,-2 <= m < -1,True,True,0.050913838120104436,0.04960835509138381
DataSet_01_035,ETV1,1.1455827322754546,-0.99858,-0.99858,21,shRNA,GPL6947,-1 <= m < -0.5,False,True,0.8067885117493473,0.8080939947780679
DataSet_01_036,ETV1,2.6998339780001985,-1.87871,-1.87871,21,shRNA,GPL6947,-2 <= m < -1,True,True,0.9804177545691906,0.9804177545691906
DataSet_01_037,TP53,0.566127430939464,-1.7844,-1.7844,930,siRNA,GPL570,-2 <= m < -1,True,True,0.7323759791122716,0.7663185378590078
DataSet_01_038,TP53,-8.056045174937125,-1.36,-1.36,930,shRNA,GPL6884,-2 <= m < -1,True,True,0.0026109660574412533,0.0013054830287206266
DataSet_01_039,TP63,-1.5505505572471272,-0.44181,-0.44181,197,shRNA,GPL571,-0.5 <= m < 0,False,True,0.19712793733681463,0.2245430809399478
DataSet_01_040,TAL1,0.35141475070079975,-0.48333,-0.48333,93,shRNA,GPL6244,-0.5 <= m < 0,False,True,0.3185378590078329,0.4046997389033943
DataSet_01_041,TAL1,0.0994196028758249,-0.90191,-0.90191,93,shRNA,GPL6244,-1 <= m < -0.5,False,True,0.2689295039164491,0.3968668407310705
DataSet_01_042,POU5F1,-9.282808839782154,-2.46487,-2.46487,88,shRNA,GPL6947,m < -2,True,True,0.0013054830287206266,0.0013054830287206266
DataSet_01_044,MYB,-3.6776612036189626,-1.99639,-1.99639,176,siRNA,GPL96,-2 <= m < -1,True,True,0.024804177545691905,0.031331592689295036
DataSet_01_046,SOX2,5.543114156644735,0.0,0.0,87,siRNA,GPL1426,m >= 0,False,True,0.9895561357702349,0.9895561357702349
DataSet_01_047,RUNX1,-5.146770215706219,0.0,0.0,194,shRNA,GPL5188,m >= 0,False,True,0.03263707571801567,0.03263707571801567
DataSet_01_048,MYB,4.487436923676586,-0.94457,-0.94457,176,shRNA,GPL8019,-1 <= m < -0.5,False,True,0.9464751958224543,0.9543080939947781
DataSet_01_049,STAT3,-0.39822067566227987,-2.85367,-2.85367,424,siRNA,GPL571,m < -2,True,True,0.2741514360313316,0.3263707571801567
DataSet_01_050,STAT6,-1.1179409539157152,-0.75666,-0.75666,123,siRNA,GPL6884,-1 <= m < -0.5,False,True,0.10574412532637076,0.11618798955613577
DataSet_01_051,RARA,4.417370555959894,-1.27545,-1.27545,181,siRNA,GPL570,-2 <= m < -1,True,True,0.9947780678851175,0.9947780678851175
DataSet_01_052,NR5A1,-3.6484901688768017,-0.1285,-0.1285,104,shRNA,GPL6244,-0.5 <= m < 0,False,False,0.007832898172323759,0.009138381201044387
DataSet_01_053,TFAP2C,-4.665025697275239,-2.27423,-2.27423,33,siRNA,GPL6883,m < -2,True,True,0.0026109660574412533,0.0039164490861618795
DataSet_01_054,PITX2,-1.9577244799416047,-0.04471,-0.04471,140,siRNA,GPL6883,-0.5 <= m < 0,False,True,0.12402088772845953,0.13054830287206268
DataSet_01_055,PITX2,-3.787494622908579,0.06962,0.06962,140,siRNA,GPL6883,m >= 0,False,True,0.020887728459530026,0.020887728459530026
DataSet_01_056,ZEB2,0.8738308808539955,-0.73327,-0.73327,29,shRNA,GPL570,-1 <= m < -0.5,False,True,0.6671018276762402,0.6671018276762402
DataSet_01_057,ZEB2,-2.7608668616532857,-0.83803,-0.83803,29,siRNA,GPL570,-1 <= m < -0.5,False,True,0.0391644908616188,0.0391644908616188
DataSet_01_058,BACH1,-4.141174144636289,-2.42937,-2.42937,15,esiRNA,GPL570,m < -2,True,True,0.0013054830287206266,0.0013054830287206266
DataSet_01_059,BACH1,-5.291395953676012,-2.50171,-2.50171,15,siRNA,GPL570,m < -2,True,True,0.0013054830287206266,0.0013054830287206266
DataSet_01_060,NFE2L2,-9.215868854797309,-2.87887,-2.87887,195,siRNA,GPL4133,m < -2,True,True,0.0026109660574412533,0.0026109660574412533
DataSet_01_061,GATA2,0.7544998883817254,-0.52569,-0.52569,96,siRNA,GPL570,-1 <= m < -0.5,False,True,0.618798955613577,0.6370757180156658
DataSet_01_062,RUNX2,2.565666573859149,-0.33534,-0.33534,123,siRNA,GPL570,-0.5 <= m < 0,False,True,0.9268929503916449,0.9347258485639687
DataSet_01_063,YBX1,-2.0887244407931655,0.0,0.0,90,siRNA,GPL6104,m >= 0,False,True,0.0926892950391645,0.0926892950391645
DataSet_01_064,YBX1,-2.057681800832113,0.0,0.0,90,siRNA,GPL6104,m >= 0,False,True,0.17362924281984335,0.17362924281984335
DataSet_01_065,YBX1,-0.9705939655175606,0.0,0.0,90,siRNA,GPL6104,m >= 0,False,True,0.2819843342036554,0.2819843342036554
DataSet_01_066,NKX2-1,-2.2956305931212078,-0.9115,-0.9115,61,siRNA,GPL6947,-1 <= m < -0.5,False,True,0.014360313315926894,0.04699738903394256
DataSet_01_067,NKX2-1,-2.142662433674993,-0.7139,-0.7139,61,siRNA,GPL6947,-1 <= m < -0.5,False,True,0.044386422976501305,0.07441253263707572
DataSet_01_068,TP53,-1.948231929890664,-4.44308,-4.44308,930,shRNA,GPL6883,m < -2,True,True,0.057441253263707574,0.044386422976501305
DataSet_01_069,SNAI1,1.8927001825491891,-0.05458,-0.05458,96,siRNA,GPL6947,-0.5 <= m < 0,False,False,0.7558746736292428,0.7532637075718016
DataSet_01_071,ELF5,0.053211940655468866,-1.7665,-1.7665,10,siRNA,GPL6244,-2 <= m < -1,True,False,0.4216710182767624,0.4216710182767624
DataSet_01_072,PAX2,-0.30861493310026566,-0.65385,-0.65385,24,shRNA,GPL570,-1 <= m < -0.5,False,False,0.34464751958224543,0.3433420365535248
DataSet_01_073,ZNF148,-3.5163351722247107,-1.32859,-1.32859,30,shRNA,GPL571,-2 <= m < -1,True,False,0.0026109660574412533,0.007832898172323759
DataSet_01_074,CEBPD,-2.507408993786052,-1.47847,-1.47847,93,siRNA,GPL570,-2 <= m < -1,True,True,0.23237597911227154,0.12532637075718014
DataSet_01_075,CEBPZ,-0.3259995145858297,-1.47229,-1.47229,18,siRNA,GPL570,-2 <= m < -1,True,True,0.5221932114882507,0.5221932114882507
DataSet_01_076,ETS1,-0.33154642538207063,-1.41362,-1.41362,205,siRNA,GPL570,-2 <= m < -1,True,True,0.43994778067885115,0.5313315926892951
DataSet_01_077,FOXM1,-1.1533225237257272,-1.52687,-1.52687,96,siRNA,GPL570,-2 <= m < -1,True,True,0.2454308093994778,0.3877284595300261
DataSet_01_078,HSF2,-0.5235948889782749,-1.50714,-1.50714,24,siRNA,GPL570,-2 <= m < -1,True,True,0.10052219321148825,0.28720626631853785
DataSet_01_079,MITF,-0.5356651709279642,-3.45338,-3.45338,108,siRNA,GPL570,m < -2,True,True,0.15535248041775457,0.3720626631853786
DataSet_01_080,RELA,-4.822059261873274,-1.02265,-1.02265,539,siRNA,GPL570,-2 <= m < -1,True,True,0.0391644908616188,0.04046997389033943
