exp,tf,sign_decision_label,self_edge_weight,has_self_edge,regulon_size,frac_regulon_default,hit_full,hit_noselfedge,ulm,no_self-edge,no_other_regulon,gene_off_network,masked
DataSet_01_006,PROX1,no self-edge,0.0,False,34,0.4117647058823529,False,False,0.15926892950391644,0.15926892950391644,0.16057441253263707,0.16057441253263707,0.16057441253263707
DataSet_01_007,NR2F2,default activation (+1),1.0,True,79,0.6329113924050633,False,False,0.26762402088772846,0.3237597911227154,0.26762402088772846,0.3237597911227154,0.32114882506527415
DataSet_01_008,WT1,PMID (-1),-1.0,True,151,0.5364238410596026,False,False,0.4177545691906005,0.3263707571801567,0.412532637075718,0.31723237597911225,0.31592689295039167
DataSet_01_010,TP53,PMID (+1),1.0,True,931,0.6133190118152524,True,True,0.009138381201044387,0.010443864229765013,0.007832898172323759,0.007832898172323759,0.007832898172323759
DataSet_01_011,TP53,PMID (+1),1.0,True,931,0.6133190118152524,False,False,0.283289817232376,0.32114882506527415,0.26109660574412535,0.3002610966057441,0.2989556135770235
DataSet_01_012,FLI1,PMID (+1),1.0,True,93,0.5913978494623656,False,False,0.16318537859007834,0.18407310704960836,0.16318537859007834,0.18407310704960836,0.1866840731070496
DataSet_01_013,FLI1,PMID (+1),1.0,True,93,0.5913978494623656,True,True,0.022193211488250653,0.030026109660574413,0.022193211488250653,0.030026109660574413,0.030026109660574413
DataSet_01_014,FLI1,PMID (+1),1.0,True,93,0.5913978494623656,False,False,0.11096605744125326,0.14360313315926893,0.11096605744125326,0.14360313315926893,0.14490861618798956
DataSet_01_015,FLI1,PMID (+1),1.0,True,93,0.5913978494623656,False,False,0.22193211488250653,0.2454308093994778,0.2206266318537859,0.24281984334203655,0.24673629242819844
DataSet_01_016,FLI1,PMID (+1),1.0,True,93,0.5913978494623656,True,True,0.016971279373368148,0.0195822454308094,0.016971279373368148,0.0195822454308094,0.0195822454308094
DataSet_01_017,ERG,PMID (+1),1.0,True,56,0.0,False,False,0.1618798955613577,0.26631853785900783,0.16057441253263707,0.26631853785900783,0.26631853785900783
DataSet_01_018,YY1,PMID (-1),-1.0,True,252,0.2976190476190476,False,False,0.5939947780678851,0.52088772845953,0.5939947780678851,0.5182767624020888,0.5248041775456919
DataSet_01_021,STAT1,PMID (+1),1.0,True,294,0.445578231292517,True,True,0.014360313315926894,0.014360313315926894,0.014360313315926894,0.014360313315926894,0.014360313315926894
DataSet_01_025,MITF,PMID (+1),1.0,True,109,0.5779816513761468,True,True,0.0039164490861618795,0.005221932114882507,0.0039164490861618795,0.005221932114882507,0.006527415143603133
DataSet_01_026,PAX3,default activation (+1),1.0,True,113,0.7699115044247787,True,False,0.07702349869451697,0.21801566579634465,0.06266318537859007,0.20365535248041775,0.20365535248041775
DataSet_01_027,PAX3,default activation (+1),1.0,True,113,0.7699115044247787,False,False,0.12924281984334204,0.2010443864229765,0.1279373368146214,0.195822454308094,0.19712793733681463
